mid,best_creeps_dif,second_creeps_dif,sum_creeps_dif
0,-1.13406182882,-0.235939193569,-1.18299967561
1,0.849863997432,0.560362831372,0.338896355287
2,0.787866315362,2.08057578808,1.99429203801
3,-0.142098915694,-0.163548100393,-0.301901973511
4,0.47787790501,1.06710048361,1.11319433592
5,-0.700078054328,-0.887459032157,-1.31649932744
6,0.53987558708,1.13949157678,0.685995450052
7,-0.142098915694,-0.0911570072161,0.23209663382
8,-1.56804560331,0.487971738196,0.23209663382
9,-0.328091961906,0.487971738196,0.018497190888
10,0.229887176728,0.126016272313,-0.221802182411
11,-0.390089643976,-0.235939193569,-0.168402321678
12,-1.13406182882,-0.670285752628,-0.782500720109
13,-0.514085008117,-1.6837610571,-1.10289988451
14,0.601873269151,0.19840736549,0.979694684084
15,-0.452087326047,0.849927204078,0.739395310785
16,-1.01006646468,-0.742676845804,-0.996100163041
17,-1.3820525571,-0.959850125334,-0.782500720109
18,-1.25805719296,1.06710048361,-0.0883025305782
19,-0.762075736399,0.849927204078,-0.141702391311
20,-1.19605951089,-0.887459032157,-1.12959981487
21,1.03585704364,-1.24941449804,0.205396703454
22,1.65583386435,1.21188266996,1.11319433592
23,-0.080101233624,-0.163548100393,-0.141702391311
24,1.53183850021,-0.163548100393,0.579195728586
25,0.415880222939,0.343189551843,0.899594892984
26,-0.390089643976,1.93579360173,1.96759210765
27,-0.94806878261,-1.53897887075,-0.435401625344
28,0.787866315362,1.21188266996,0.685995450052
29,-0.266094279835,-1.03224121851,-0.301901973511
30,0.0438941305169,-0.0911570072161,-0.141702391311
31,-1.13406182882,-0.670285752628,-0.408701694977
32,1.9658222747,0.777536110902,0.792795171518
33,0.167889494658,1.57383813584,1.24669398775
34,1.28384777193,1.57383813584,0.47239600712
35,-1.07206414675,-0.670285752628,-1.87719786514
36,-1.13406182882,-0.597894659451,-1.20969960597
37,0.0438941305169,0.487971738196,0.846195032251
38,-0.328091961906,0.487971738196,-0.00820273947855
39,0.725868633292,0.270798458666,0.579195728586
40,-0.638080372258,0.632753924549,-0.916000371942
41,0.291884858799,2.44253125396,1.13989426628
42,0.663870951221,1.42905594949,0.365596285653
43,-0.142098915694,0.270798458666,0.23209663382
