mid,gold_diff_rank_0,gold_diff_rank_1,gold_diff_rank_2,gold_diff_rank_3,gold_diff_rank_4
0,1.23539975906,-0.636306705907,0.361293721772,-0.665978100184,-0.463171251706
1,-0.364903939325,-0.732194739448,-0.275576947428,0.611509052641,-1.31631384823
2,-0.478126461558,0.453975749537,1.09614449393,1.15835362447,2.27763331035
3,1.46598709092,1.43889974838,0.988978756321,-0.345696420843,0.0507296036804
4,-0.189547106111,-0.422038384045,0.184725411241,0.147464574051,0.42691846514
5,-0.791559541396,-1.66266380566,-2.25252964974,-0.657789079974,-0.796367100427
6,1.5529751263,0.269302499755,0.230653584501,-0.0154059390232,0.631135275646
7,0.996527852397,2.13260823794,0.437840677205,0.308515304856,-0.094371814311
8,-0.718379130685,-0.931073623829,-0.0245029336085,0.253921836786,-0.794351802955
9,-1.69457819432,-0.748767979813,-0.462351518684,-0.304751319791,-1.11747116432
10,0.350331018192,0.891982816328,0.986937504176,0.561465040244,-1.13829590486
11,0.179116472377,0.00531445679727,0.722595351415,0.34582084137,-0.315382770418
12,-1.17126921961,-1.76447085362,-0.493990926929,-0.12004341949,0.334214781423
13,-0.63553338271,0.0597693894253,-1.88918676795,-1.62864292048,-1.46813292446
14,-1.59378253429,-0.259857389044,-0.231690026313,0.553276020034,0.35369599032
15,1.14150791135,0.762948302057,1.19922772724,0.142915118378,-1.67234973497
16,0.174974184978,-0.397178523497,-1.24517171624,-0.942585005069,-0.342925169204
17,0.0451825131509,-1.33711801277,-1.02267523245,-1.59588683963,-1.16113594288
18,0.278531369947,-0.0159939951007,1.33292974273,0.90904345362,-0.822565967564
19,-1.3355799531,-0.964220104559,-0.174534966257,0.46956603566,0.449086737333
20,1.15117324862,0.702574355013,-0.546042856623,-2.04992251574,-0.0278669977316
21,-0.860597664709,-1.00446940259,0.890998653367,-0.613204414384,0.721823661891
22,1.7573279713,0.375844759245,1.90754222151,0.751632287353,2.31122160156
23,0.626483511442,0.356903913113,-0.105132393331,0.798036735212,1.03956889666
24,-0.108082120603,0.889615210562,-0.367433293947,0.125627186823,1.35462706813
25,0.663764098031,0.770051119357,0.912431800888,1.02277984543,0.834008554504
26,1.21054603467,0.42201307169,-0.457248388321,-0.401199780047,0.311374743406
27,-1.03595449792,0.949989157606,-0.708322402141,-1.06542030823,-0.414132346551
28,-1.7815662297,-1.3702644935,-0.518485952668,0.898124760006,0.112532059492
29,0.910920579489,-0.317863730322,0.864462375483,-0.237419375839,0.240167566058
30,-1.29001479171,-0.605527830944,0.457232572581,0.0437369847187,-0.279779181744
31,2.11356468759,1.39391523881,1.19616584903,0.814414775633,0.180380407719
32,0.905397529624,1.72893145476,1.18800084045,1.52503975167,1.04695832072
33,-0.683860069029,1.90650188725,1.01143252991,0.823513686977,0.870283909002
34,-1.08842347164,-0.352194013935,0.934885574481,1.87989729412,1.32775643517
